Sport,Country,Medal
Biathlon,Austria,11
Biathlon,Belarus,8
Biathlon,Bulgaria,2
Biathlon,Canada,3
Biathlon,Croatia,1
Biathlon,Czech Republic,8
Biathlon,Finland,16
Biathlon,France,44
Biathlon,Germany,80
Biathlon,Italy,10
Biathlon,Kazakhstan,1
Biathlon,Norway,62
Biathlon,Poland,1
Biathlon,Russia,57
Biathlon,Slovakia,4
Biathlon,Slovenia,1
Biathlon,Sweden,16
Biathlon,Switzerland,5
Biathlon,Ukraine,8
Bobsleigh,Austria,13
Bobsleigh,Belgium,9
Bobsleigh,Canada,22
Bobsleigh,France,4
Bobsleigh,Germany,66
Bobsleigh,Italy,33
Bobsleigh,Latvia,6
Bobsleigh,Russia,15
Bobsleigh,Switzerland,101
Bobsleigh,United Kingdom,20
Bobsleigh,United States,93
Curling,Canada,50
Curling,China,5
Curling,Denmark,5
Curling,Finland,5
Curling,France,6
Curling,Norway,15
Curling,Sweden,33
Curling,Switzerland,25
Curling,United Kingdom,23
Curling,United States,5
Ice Hockey,Canada,351
Ice Hockey,Czech Republic,47
Ice Hockey,Finland,181
Ice Hockey,Germany,10
Ice Hockey,Russia,46
Ice Hockey,Sweden,218
Ice Hockey,Switzerland,50
Ice Hockey,United Kingdom,24
Ice Hockey,United States,269
Luge,Austria,27
Luge,Germany,42
Luge,Italy,24
Luge,Latvia,9
Luge,Russia,6
Luge,United States,9
Skating,Australia,5
Skating,Austria,31
Skating,Belarus,1
Skating,Belgium,4
Skating,Bulgaria,3
Skating,Canada,159
Skating,China,69
Skating,Czech Republic,5
Skating,Finland,26
Skating,France,18
Skating,Germany,54
Skating,Hungary,12
Skating,Italy,31
Skating,Japan,28
Skating,Kazakhstan,2
Skating,"Korea, North",2
Skating,"Korea, South",87
Skating,Netherlands,121
Skating,Norway,83
Skating,Poland,13
Skating,Russia,79
Skating,Sweden,20
Skating,Switzerland,3
Skating,Ukraine,3
Skating,United Kingdom,11
Skating,United States,179
Skiing,Australia,10
Skiing,Austria,198
Skiing,Belarus,6
Skiing,Bulgaria,1
Skiing,Canada,40
Skiing,China,8
Skiing,Croatia,10
Skiing,Czech Republic,15
Skiing,Estonia,7
Skiing,Finland,206
Skiing,France,80
Skiing,Germany,108
Skiing,Italy,94
Skiing,Japan,35
Skiing,Kazakhstan,4
Skiing,Liechtenstein,9
Skiing,Luxembourg,2
Skiing,Netherlands,1
Skiing,New Zealand,1
Skiing,Norway,297
Skiing,Poland,13
Skiing,Russia,60
Skiing,Slovakia,1
Skiing,Slovenia,17
Skiing,Spain,2
Skiing,Sweden,146
Skiing,Switzerland,101
Skiing,United Kingdom,1
Skiing,United States,98
Skiing,Uzbekistan,1
